batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time
280,40,12.585,27.6,45.74585843086243
280,40,12.400000000000002,30.966666666666665,68.48584342002869
280,40,12.5475,27.35,91.4176743030548
290,40,12.38,18.7,22.84988522529602
290,40,12.665,20.8,44.46969747543335
290,40,12.6,28.966666666666665,67.23198056221008
290,40,12.58,29.275,88.13620114326477
300,40,12.170000000000002,29.7,22.01290202140808
300,40,12.37,27.45,43.345431327819824
300,40,12.31,30.03333333333333,66.45300936698914
300,40,12.3275,25.425,87.52494239807129
310,40,11.96,28.0,21.87742757797241
310,40,12.27,23.8,43.383036375045776
310,40,12.396666666666668,33.766666666666666,64.42810153961182
310,40,12.41,31.55,86.11120510101318
320,40,12.17,27.2,22.14685821533203
320,40,12.275,33.65,41.8501136302948
320,40,12.389999999999995,27.9,64.33593654632568
320,40,12.395,31.025,85.09833765029907
330,40,11.88,22.9,21.74899244308472
330,40,12.044999999999998,27.65,41.59485220909119
330,40,12.23,31.3,62.6505401134491
330,40,12.3,27.45,83.43051719665527
340,40,11.81,19.8,20.94298410415649
340,40,12.290000000000004,32.75,41.40933322906494
340,40,12.206666666666669,28.73333333333333,61.56991243362427
340,40,12.2975,28.95,83.7144341468811
350,40,11.97,36.1,20.948951244354248
350,40,12.07,30.35,40.91141438484192
350,40,12.25,29.83333333333333,60.50047302246094
350,40,12.169999999999998,34.35,80.91020083427429
360,40,12.05,26.4,20.735693216323853
360,40,12.04,28.65,39.6967556476593
360,40,12.273333333333332,33.6,59.68392586708069
360,40,11.9325,25.0,79.83452725410461
370,40,11.91,30.3,20.480567932128903
370,40,11.99,26.0,40.25338268280029
370,40,12.213333333333331,30.03333333333333,60.00548791885376
370,40,12.005,28.85,78.99944567680359
380,40,11.8,30.5,20.3001651763916
380,40,12.175,26.55,39.12573146820069
380,40,12.233333333333333,34.833333333333336,58.823763847351074
380,40,11.875,29.175,78.8193609714508
390,40,11.42,30.4,19.853886365890503
390,40,11.765,25.9,38.91679573059082
390,40,12.053333333333336,29.366666666666667,58.49760389328003
390,40,12.1325,31.125,77.52628207206726
400,40,10.76,38.1,17.325504064559937
400,40,10.98,34.15,33.896645307540894
400,40,10.989999999999998,32.266666666666666,49.83336162567139
400,40,10.925,36.1,67.4396665096283
410,40,11.91,31.4,19.63983678817749
410,40,11.9,35.5,38.40134143829346
410,40,12.123333333333337,32.96666666666667,57.22512006759644
410,40,11.9475,31.575,75.98505091667175
420,40,11.83,25.7,19.74106454849243
420,40,11.855,31.5,38.11215353012085
420,40,11.78,31.6,56.23355221748352
420,40,11.9275,28.85,75.76172256469727
430,40,11.96,24.4,19.584741592407227
430,40,12.035,27.55,37.67035889625549
430,40,11.716666666666663,29.4,55.29111194610596
430,40,11.8125,28.875,73.93036985397339
440,40,11.73,35.0,19.19910502433777
440,40,11.835,28.45,36.88697671890259
440,40,12.186666666666666,32.43333333333333,55.69955086708069
440,40,11.7625,27.85,73.82836031913757
450,40,11.500000000000002,34.9,18.96807217597961
450,40,11.954999999999998,29.75,37.24742460250855
450,40,11.786666666666664,29.5,55.31857943534851
450,40,11.735,32.625,73.356764793396
460,40,11.48,34.2,18.611473083496094
460,40,11.635,37.85,36.27930879592896
460,40,11.666666666666668,33.8,54.100159645080566
460,40,11.7025,26.7,73.34087014198303
470,40,11.38,17.8,18.764583587646484
470,40,11.635,28.25,36.497188329696655
470,40,11.936666666666666,27.53333333333333,54.21498322486877
470,40,11.725,27.675,72.22938895225525
480,40,11.56,31.7,18.75522089004517
480,40,11.54,31.3,35.89502310752869
480,40,11.663333333333332,29.366666666666667,53.30251145362854
480,40,11.529999999999998,29.225,72.60019588470459
490,40,11.47,27.1,18.477407693862915
490,40,11.54,35.05,36.16963195800781
