batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time
260,40,19.87333333333333,28.133333333333333,18.53662133216858
260,40,19.1425,21.8,24.117058992385864
270,40,18.78,24.5,6.4157445430755615
270,40,19.22,30.65,12.145099878311155
270,40,19.010000000000005,27.933333333333334,17.969442129135132
270,40,19.405,24.3,24.00098180770874
280,40,18.790000000000003,29.3,5.969974756240845
280,40,19.145000000000003,26.1,11.780792713165283
280,40,18.98,27.266666666666666,17.750182628631592
280,40,18.94,27.25,23.37440609931945
290,40,18.98,28.4,5.875165939331055
290,40,19.065,28.5,11.424552917480469
290,40,21.496666666666663,25.83333333333333,17.765267610549927
290,40,22.37,25.65,24.21259570121765
300,40,23.43,27.6,5.753227233886719
300,40,22.31000000000001,27.6,10.958483219146729
300,40,22.780000000000005,27.0,16.730443954467773
300,40,22.095,28.8,21.574864387512207
310,40,22.94,27.4,5.929178714752197
310,40,22.785000000000004,26.2,11.476646184921265
310,40,22.42333333333333,25.966666666666665,16.96206283569336
310,40,24.17,26.375,23.564288854599
320,40,22.35,26.9,5.697262287139893
320,40,22.8,27.5,11.110864639282228
320,40,22.58666666666667,27.066666666666663,16.893372774124146
320,40,23.2825,25.325,23.105430126190186
330,40,22.57,28.5,5.673675775527954
330,40,22.715,25.9,11.33752727508545
330,40,24.34,26.266666666666666,17.688421487808228
330,40,22.8225,25.525,22.63322615623474
340,40,19.61,29.3,5.43349027633667
340,40,20.2,24.95,11.458751440048218
340,40,18.673333333333336,29.4,15.680485963821411
340,40,22.64,28.25,21.739332914352417
350,40,22.22,29.0,5.323025226593018
350,40,22.68,28.2,11.251865863800049
350,40,22.746666666666663,28.6,16.247154712677002
350,40,22.61,27.6,21.714884757995605
360,40,23.39,29.6,5.382969379425049
360,40,22.825000000000003,27.3,10.720248222351074
360,40,22.62,28.266666666666666,15.923410654067991
360,40,22.5925,28.45,20.973634481430054
370,40,22.65,30.7,5.25350284576416
370,40,22.315,28.05,10.514127254486084
370,40,22.80333333333333,28.466666666666665,15.72570252418518
370,40,22.64,28.85,20.957110166549683
380,40,22.6,30.0,5.175603866577148
380,40,22.445,29.0,10.836633443832396
380,40,22.55,28.3,15.619801998138428
380,40,22.535,27.65,20.64142084121704
390,40,22.3,26.9,5.357276201248169
390,40,22.505,27.0,10.45851182937622
390,40,22.67333333333334,28.53333333333333,15.36829423904419
390,40,22.597500000000004,27.25,20.57673168182373
400,40,22.4,28.7,4.886431694030762
400,40,22.39,29.85,9.674196481704712
400,40,22.39333333333333,28.666666666666668,14.339653491973875
400,40,24.2275,27.0,20.350194454193115
410,40,21.89,29.0,5.011190176010132
410,40,22.05,28.55,10.27040195465088
410,40,18.14,30.33333333333333,14.647861242294312
410,40,18.7175,29.775,19.7613422870636
420,40,19.59,28.8,5.138983249664307
420,40,18.875,29.9,9.859691143035889
420,40,19.37,30.133333333333333,14.932450294494627
420,40,18.875,30.55,19.275355577468872
430,40,22.2,29.5,5.057820796966553
430,40,22.625,30.4,9.83817458152771
430,40,22.55333333333333,28.966666666666665,14.709761142730711
430,40,22.5,28.8,19.70796751976013
440,40,22.690000000000005,28.8,5.410443305969238
440,40,22.630000000000003,29.2,9.878823041915894
440,40,22.516666666666666,29.2,14.762717008590698
440,40,23.2475,28.55,20.05567502975464
450,40,23.54,30.1,5.094476222991943
450,40,23.830000000000005,29.6,10.12765407562256
450,40,23.53,29.7,14.95945692062378
450,40,23.0525,30.0,19.93343496322632
460,40,23.37,28.2,5.102000951766968
460,40,23.545,28.85,9.918788194656372
460,40,23.51,29.2,14.601667642593384
460,40,23.235,28.075,19.90560221672058
470,40,23.2,29.6,5.07006311416626
470,40,23.505000000000003,29.05,9.9408700466156
470,40,23.33333333333333,29.866666666666667,14.863689184188845
470,40,23.315,28.025,19.69172096252441
480,40,23.33,32.3,4.675967216491699
480,40,22.390000000000004,32.2,9.10893177986145
480,40,23.15333333333333,30.933333333333334,13.731926441192629
480,40,22.7525,30.925,18.291181087493896
490,40,23.75,29.8,4.932992458343506
490,40,23.085,30.05,9.597262859344482
490,40,23.476666666666667,30.53333333333333,14.302380800247192
490,40,23.2925,29.15,19.431936979293823
500,40,22.97000000000001,30.9,4.668091535568237
500,40,23.055,30.75,9.210148334503174
500,40,22.75,30.73333333333333,13.702774047851562
500,40,22.8675,32.15,18.02277398109436
510,40,23.4,28.9,4.891453504562378
510,40,23.195,30.35,9.512214660644531
510,40,23.543333333333337,31.133333333333333,14.20361042022705
510,40,23.1,29.75,18.837647199630737
520,40,23.24,27.9,4.800113677978516
520,40,22.865,29.8,9.382734298706056
520,40,23.30666666666667,29.766666666666666,14.535727500915527
520,40,23.43,29.575,18.86023736000061
530,40,22.93,29.5,4.766732215881348
530,40,23.020000000000003,31.9,9.449056386947632
530,40,23.32,29.5,14.08369255065918
530,40,23.1,29.975,18.650910139083862
540,40,23.04,32.3,4.7431628704071045
540,40,23.6,31.6,9.296276092529297
540,40,23.160000000000004,31.966666666666665,13.79767608642578
540,40,22.915,30.65,18.465248584747314
550,40,22.74,31.4,4.622802257537842
550,40,23.5,31.55,9.117320775985718
550,40,23.80333333333333,29.73333333333333,14.015753746032717
550,40,23.2575,30.925,18.36265206336975
560,40,23.59,30.7,4.765796661376953
560,40,23.090000000000003,31.0,9.22439956665039
560,40,23.396666666666665,30.53333333333333,13.673080682754517
560,40,23.405,31.775,18.02751660346985
570,40,23.68,29.4,4.622318506240845
570,40,23.335,31.45,9.025908708572388
570,40,23.27,32.333333333333336,13.434173583984377
570,40,23.3,32.175,17.94402003288269
580,40,23.35,30.9,4.531692743301392
580,40,23.195,29.8,9.45887041091919
580,40,23.04,31.0,13.433462381362917
580,40,23.075,30.6,18.1033992767334
590,40,23.800000000000004,32.8,4.614541530609131
590,40,23.51,31.55,9.004500150680542
590,40,22.743333333333336,30.766666666666666,13.2076153755188
590,40,23.545,31.9,17.74322748184204
600,40,23.92,32.5,4.342766284942627
600,40,22.85,34.1,8.496703386306763
600,40,23.290000000000006,31.23333333333333,12.538199424743652
600,40,22.5475,33.175,16.639953136444092
610,40,24.44,31.6,4.51685905456543
610,40,23.24,31.7,9.331349849700928
610,40,23.46,30.266666666666666,13.378483772277832
610,40,23.3625,31.2,17.738651990890503
620,40,23.43,29.6,4.482561826705933
